지역,수행기관명,우편번호,주소,대표전화번호
서울 금연지원센터,가톨릭대학교 산학협력단,6591,서울특별시 서초구 반포대로 222 가톨릭대학교 의생명산업연구원 2001호(2층) 서울금연지원센터,02-592-9030 
부산 금연지원센터,부산대학교병원 ,49241,부산광역시 서구 구덕로 179 융합의학연구동(구KT) 1층 부산금연지원센터,051-242-9030 
대구 금연지원센터,대구의료원 ,41845,대구광역시 서구 평리로157 대구의료원 서관 7층 대구금연지원센터,053-561-9030 
인천 금연지원센터,인하대학교병원 ,22332,인천광역시 중구 인항로27 인하대학교병원 3층 인천금연지원센터,032-451-9030 
광주 금연지원센터,조선대학교병원 ,61453,광주광역시 동구 필문대로 365 조선대학교병원 신관 지하 1층 광주금연지원센터,062-222-9030 
대전 금연지원센터,산학협력단,35015,대전광역시 중구 문화로 266 충남대학교 의과대학 3층 예방의학교실 320호 대전금연지원센터,042-586-9030 
울산 금연지원센터,울산대학교병원 ,44033,울산광역시 동구 방어진순환도로 877 울산대학교병원 본관 로비층 울산금연지원센터,052-233-9030 
세종 금연지원센터,한국영상대학교 산학협력단,30056,세종특별자치시 장군면 대학길 300 한국영상대학교 본관 7층 세종금연지원센터,044-865-9030 
경기남부 금연지원센터,산학협력단,14066,경기도 안양시 동안구 관평로 176번길 14 평촌프라자 (한림대성심병원 연구동) 905호·917호 경기남부금연지원센터,031-385-9030 
경기북부 금연지원센터,국립암센터 ,10408,경기도 고양시 일산동구 일산로 323 국립암센터 검진동 9층 경기북부금연지원센터 ,031-924-9030 
강원 금연지원센터,연세대학교 원주산학협력단,26427,강원도 원주시 일산로29 4층 강원금연지원센터 ,033-746-9030 
충북 금연지원센터,충북대학교병원 ,28644,충청북도 청주시 서원구 1순환로 776 충북대학교병원 충청권역 호흡기전문질환센터 8층 충북금연지원센터,043-278-9030 
충남 금연지원센터,순천향대학교 산학협력단,31151,충천남도 천안시 동남구 순천향 6길 31 순천향의과대학 학술관 519호 충남금연지원센터,041-577-9030
전북 금연지원센터,원광대학교병원 ,54538,전라북도 익산시 무왕로895 원광대학교병원 외래동 1층 전북금연지원센터,1833-9030 
전남 금연지원센터,화순전남대학교병원 ,58128,전라남도 화순군 화순읍 서양로322 화순전남대학교병원 전남지역암센터 3층 전남금연지원센터,061-372-9030 
경북 금연지원센터,안동의료원 ,36694,경상북도 안동시 태사2길 55 안동의료원 5층 경북금연지원센터,080-888-9030 
경남 금연지원센터,경상대학교병원 ,52727,경상남도 진주시 강남로 79 경상대학교병원 암센터 1층 경남금연지원센터,080-777-9030 
제주 금연지원센터,연강의료재단 연강병원,63184,제주특별자치도 제주시 서광로 175 아세아빌딩 5층 제주금연지원센터,064-758-9030 
