순번,의료기관명,시도명,시군구명,주소,형태
1,김연심소아청소년과의원,경기도,파주시,경기도 파주시 심학산로 415 3층 (목동동) ,의원
2,마디편한의원,경기도,안산시 단원구,경기도 안산시 단원구 와동공원로 145 2 3층 (와동),의원
3,홈스피탈내과의원,서울특별시,용산구,서울특별시 용산구 한남대로 76 한남프라자 5층 (한남동),의원
4,유앤미의원,경상북도,포항시 남구,경상북도 포항시 남구 시청로 7 좋은의사들 5층 501호 (대잠동),의원
5,무척바른한방병원,서울특별시,강서구,서울특별시 강서구 공항대로 228 4 5층 (마곡동),병원
6,삼진치과의원,경상남도,창원시 마산합포구,경상남도 창원시 마산합포구 진동면 삼진의거대로 640 (신약국),의원
7,더나은내과의원,충청북도,청주시 상당구,충청북도 청주시 상당구 중고개로 115 4층 403 404 405호 (용암동) ,의원
8,참편한내과의원,경기도,성남시 수정구,경기도 성남시 수정구 산성대로 247 4층 (신흥동),의원
9,빛하늘의원,부산광역시,북구,부산광역시 북구 효열로203번길 6 103호  201호 (금곡동  대성하이츠빌) ,의원
10,서울자연의원,경기도,광명시,경기도 광명시 새빛공원로 67 광명역자이타워 A동 330호 (일직동),의원
11,다윗365내과재활의학과의원,전라남도,목포시,전라남도 목포시 용해지구로 85 3 5층 (연산동) ,의원
12,삼성성모의원,충청북도,음성군,충청북도 음성군 삼성면 덕정로 66,의원
13,베스트내과의원,경기도,화성시,경기도 화성시 동탄대로 537 라스플로레스 A동 235-239 244-247호 (오산동) ,의원
14,스마트 신경외과의원,전라남도,순천시,전라남도 순천시 중앙로 314 2-3층 (가곡동),의원
15,세종충남대학교병원,세종특별자치시,세종특별자치시,세종특별자치시 보듬7로 20 세종충남대학교병원 (도담동) ,병원
16,좋은아침 내과 의원,대구광역시,수성구,대구광역시 수성구 청수로 24 (중동),의원
17,도담가정의학과의원,경상북도,안동시,경상북도 안동시 옥서1길 81 2층 (옥동),의원
18,에코이비인후과의원,경기도,하남시,경기도 하남시 감일백제로 105 501호 (감이동),의원
19,감일든든한내과의원,경기도,하남시,경기도 하남시 감일백제로 105 301-303호 (감이동),의원
20,레이크봄봄이비인후과의원,경기도,화성시,경기도 화성시 동탄대로 181 301-303호 307-309일부호 (송동  동탄린스트라우스더레이크) ,의원
